Dia;Mes;ano;Hora;Minuto;Segundo;Temperatura
17;11;2012;19;2;0;18,5
17;11;2012;21;2;0;18,5
17;11;2012;23;2;0;18,5
18;11;2012;1;2;0;18,0
18;11;2012;3;2;0;18,0
18;11;2012;5;2;0;19,0
18;11;2012;7;2;0;19,5
18;11;2012;9;2;0;20,0
18;11;2012;11;2;0;21,0
18;11;2012;13;2;0;21,5
18;11;2012;15;2;0;22,5
18;11;2012;17;2;0;22,0
18;11;2012;19;2;0;21,0
18;11;2012;21;2;0;20,5
18;11;2012;23;2;0;20,0
19;11;2012;1;2;0;20,5
19;11;2012;3;2;0;19,5
19;11;2012;5;2;0;18,5
19;11;2012;7;2;0;18,0
19;11;2012;9;2;0;18,5
19;11;2012;11;2;0;18,5
19;11;2012;13;2;0;18,5
19;11;2012;15;2;0;19,5
19;11;2012;17;2;0;19,5
19;11;2012;19;2;0;19,5
19;11;2012;21;2;0;19,5
19;11;2012;23;2;0;19,5
20;11;2012;1;2;0;19,0
20;11;2012;3;2;0;18,5
20;11;2012;5;2;0;18,5
20;11;2012;7;2;0;17,0
20;11;2012;9;2;0;16,5
20;11;2012;11;2;0;17,5
20;11;2012;13;2;0;21,5
20;11;2012;15;2;0;22,0
20;11;2012;17;2;0;20,0
20;11;2012;19;2;0;19,0
20;11;2012;21;2;0;19,0
20;11;2012;23;2;0;18,5
21;11;2012;1;2;0;18,0
21;11;2012;3;2;0;18,0
21;11;2012;5;2;0;18,0
21;11;2012;7;2;0;18,5
21;11;2012;9;2;0;19,5
21;11;2012;11;2;0;21,0
21;11;2012;13;2;0;20,0
21;11;2012;15;2;0;20,0
21;11;2012;17;2;0;20,5
21;11;2012;19;2;0;19,5
21;11;2012;21;2;0;20,0
21;11;2012;23;2;0;20,0
22;11;2012;1;2;0;20,0
22;11;2012;3;2;0;19,5
22;11;2012;5;2;0;19,5
22;11;2012;7;2;0;19,5
22;11;2012;9;2;0;21,0
22;11;2012;11;2;0;22,0
22;11;2012;13;2;0;21,5
22;11;2012;15;2;0;22,0
22;11;2012;17;2;0;23,5
22;11;2012;19;2;0;23,0
22;11;2012;21;2;0;22,5
22;11;2012;23;2;0;23,0
23;11;2012;1;2;0;23,0
23;11;2012;3;2;0;23,5
23;11;2012;5;2;0;23,5
23;11;2012;7;2;0;22,5
23;11;2012;9;2;0;24,5
23;11;2012;11;2;0;24,0
23;11;2012;13;2;0;25,5
23;11;2012;15;2;0;26,5
23;11;2012;17;2;0;24,5
23;11;2012;19;2;0;23,0
23;11;2012;21;2;0;23,0
23;11;2012;23;2;0;22,5
24;11;2012;1;2;0;22,5
24;11;2012;3;2;0;21,5
24;11;2012;5;2;0;20,0
24;11;2012;7;2;0;19,0
24;11;2012;9;2;0;24,5
24;11;2012;10;42;0;24,5
24;11;2012;11;42;0;25,5
24;11;2012;12;42;0;25,5
24;11;2012;13;42;0;26,0
24;11;2012;14;42;0;25,0
24;11;2012;15;42;0;24,5
24;11;2012;16;42;0;24,0
24;11;2012;17;42;0;23,0
24;11;2012;18;42;0;22,5
24;11;2012;19;42;0;22,5
24;11;2012;20;42;0;22,5
24;11;2012;21;42;0;22,5
24;11;2012;22;42;0;22,5
24;11;2012;23;42;0;22,5
25;11;2012;0;42;0;22,5
25;11;2012;1;42;0;22,5
25;11;2012;2;42;0;22,5
25;11;2012;3;42;0;22,5
25;11;2012;4;42;0;22,0
25;11;2012;5;42;0;22,0
25;11;2012;6;42;0;22,0
25;11;2012;7;42;0;22,5
25;11;2012;8;42;0;22,5
25;11;2012;9;42;0;22,5
25;11;2012;10;42;0;22,5
25;11;2012;11;42;0;23,0
25;11;2012;12;42;0;23,0
25;11;2012;13;42;0;23,0
25;11;2012;14;42;0;22,5
25;11;2012;15;42;0;22,5
25;11;2012;16;42;0;22,0
25;11;2012;17;42;0;22,0
25;11;2012;18;42;0;22,0
25;11;2012;19;42;0;22,0
25;11;2012;20;42;0;21,5
25;11;2012;21;42;0;21,5
25;11;2012;22;42;0;21,5
25;11;2012;23;42;0;21,5
26;11;2012;0;42;0;21,0
26;11;2012;1;42;0;21,0
26;11;2012;2;42;0;21,5
26;11;2012;3;42;0;21,0
26;11;2012;4;42;0;20,5
26;11;2012;5;42;0;20,5
26;11;2012;6;42;0;21,0
26;11;2012;7;42;0;21,0
26;11;2012;8;42;0;21,0
26;11;2012;9;42;0;21,0
26;11;2012;10;42;0;21,5
26;11;2012;11;42;0;21,5
26;11;2012;12;42;0;21,5
26;11;2012;13;42;0;21,5
26;11;2012;14;42;0;21,5
26;11;2012;15;42;0;21,0
26;11;2012;16;42;0;21,0
26;11;2012;17;42;0;21,0
26;11;2012;18;42;0;20,5
26;11;2012;19;42;0;20,5
26;11;2012;20;42;0;20,5
26;11;2012;21;42;0;20,5
26;11;2012;22;42;0;20,5
26;11;2012;23;42;0;20,5
27;11;2012;0;42;0;20,5
27;11;2012;1;42;0;20,5
27;11;2012;2;42;0;20,5
27;11;2012;3;42;0;21,0
27;11;2012;4;42;0;20,5
27;11;2012;5;42;0;20,5
27;11;2012;6;42;0;20,5
27;11;2012;7;42;0;21,0
27;11;2012;8;42;0;21,5
27;11;2012;9;42;0;22,0
27;11;2012;10;42;0;22,5
27;11;2012;11;42;0;23,5
27;11;2012;12;42;0;22,5
27;11;2012;13;42;0;22,0
27;11;2012;14;42;0;22,0
27;11;2012;15;42;0;23,5
27;11;2012;16;42;0;23,0
27;11;2012;17;42;0;23,0
27;11;2012;18;42;0;22,5
27;11;2012;19;42;0;21,5
27;11;2012;20;42;0;21,5
27;11;2012;21;42;0;21,5
27;11;2012;22;42;0;21,5
27;11;2012;23;42;0;21,5
28;11;2012;0;42;0;21,5
28;11;2012;1;42;0;21,0
28;11;2012;2;42;0;21,5
28;11;2012;3;42;0;21,5
28;11;2012;4;42;0;21,5
28;11;2012;5;42;0;21,5
28;11;2012;6;42;0;21,5
28;11;2012;7;42;0;21,5
28;11;2012;8;42;0;21,5
28;11;2012;9;42;0;21,5
28;11;2012;10;42;0;23,0
28;11;2012;11;42;0;23,0
28;11;2012;12;42;0;24,0
28;11;2012;13;42;0;23,5
28;11;2012;14;42;0;24,0
28;11;2012;15;42;0;24,5
28;11;2012;16;42;0;24,5
28;11;2012;17;42;0;24,5
28;11;2012;18;42;0;24,0
28;11;2012;19;42;0;24,0
28;11;2012;20;42;0;23,5
28;11;2012;21;42;0;23,0
28;11;2012;22;42;0;23,0
28;11;2012;23;42;0;23,0
29;11;2012;0;42;0;23,0
